"Date","SBR","SBE","BSB","ExC","ExP","ImC","ImP","Man","Bld","UnE","UnC","CPI","PFB","PAT","PCF","PHE","PHH","PH","PT","PC","PRC","PE","DPU","TEx","TIm","ToT","M0","M1","M2","M3","ERE","ERA","USE","USA","Ref","Lom"
"2006-06-01",14387.2,17363.5,-2976.3,1271.1,-4.09999999999999,-472.100000000006,-10.8,-0.199999999999999,6.3,-95.4000000000001,88,-0.100000000000009,-0.299999999999997,-0.0999999999999943,0,-0.0999999999999943,0,0,-0.399999999999991,0.399999999999991,0.200000000000003,0.100000000000009,8155,100.3,108.2,92.7,3025.7,2807.70000000001,6903.70000000001,5063.29999999999,3.18,3.17,4.04,4.02,4,5.5
"2006-07-01",17617.1,15466.3,2150.7,-2149.5,-5.3,-421.799999999996,9.90000000000001,0,5.3,-44.1999999999998,87,0.299999999999997,0.700000000000003,0,-0.0999999999999943,-0.400000000000006,0,-0.5,-0.600000000000009,1.90000000000001,2.8,-0.100000000000009,9545,106.1,103.4,102.6,-329.799999999988,6506.69999999998,2292.89999999997,2148.40000000002,3.08,3.15,3.93,4,4,5.5
"2006-08-01",18312.8,17251.9,1061,-302.5,5.19999999999999,-1186.4,-7.3,-0.399999999999999,-0.499999999999996,-31.8000000000002,86.6,0.5,1.59999999999999,0.200000000000003,-0.200000000000003,0.100000000000009,0.100000000000009,0.0999999999999943,0.100000000000009,0.0999999999999943,0.299999999999997,0.100000000000009,8508,102.6,106.4,96.4,2994.7,2311.5,6213.90000000002,6721,3.07,3.05,3.94,3.9,4,5.5
"2006-09-01",15941.3,16068.9,-127.700000000001,4620.9,-1.89999999999999,4241.6,5.19999999999999,-0.100000000000001,-0.199999999999999,-48,85.6,0,0.600000000000009,0,0.200000000000003,0.0999999999999943,-0.100000000000009,0,-2.8,-0.299999999999997,-0.200000000000003,-0.200000000000003,8167,105.1,102.9,102.1,-3999.60000000001,4304.30000000002,5193.79999999999,6245.59999999998,3.14,3.12,3.98,3.97,4,5.5
"2006-10-01",18527.6,20554.1,-2026.5,1452.3,1.89999999999999,2341.1,3.40000000000001,-0.100000000000001,-2.4,-61.7999999999997,84.9,-0.399999999999991,-0.200000000000003,0.0999999999999943,-0.200000000000003,-0.299999999999997,0.100000000000009,0,-2.60000000000001,0,0,-0.5,11241,103.9,105.3,98.7,1990.60000000001,1364.19999999998,4820.90000000002,6880,3.06,3.09,3.89,3.9,4,5.5
"2006-11-01",17595.4,19539.3,-1943.8,-1490.6,-8,-2062.5,-5.40000000000001,-1.2,-3.8,-14.5,84,0.200000000000003,0,0,0,0,0.0999999999999943,-0.0999999999999943,0,1.40000000000001,1.40000000000001,0,11541,106.9,100.5,106.4,5013.7,9436.5,7030.29999999999,6889.30000000005,2.89,2.97,3.82,3.83,4,5.5
"2006-12-01",17335,23817.6,-6482.6,-5426.4,-9.89999999999999,-2669.89999999999,-0.799999999999997,-0.899999999999999,-5.1,22.0999999999999,83.3,0,-0.400000000000006,0.0999999999999943,0,0,-0.0999999999999943,0,0.400000000000006,0.199999999999989,0.0999999999999943,0,15990,109.7,103.3,106.2,-822.300000000003,11730.6,15153.5,12048.1,2.91,2.89,3.83,3.81,4,5.5
"2007-01-01",-175232.3,-203439.5,28207.2,2947.8,12,828.199999999997,3.7,4.7,1,56.4000000000001,82.5,0.199999999999989,1,0,-0.599999999999994,-0.5,0,0.200000000000003,0.899999999999991,0.5,0.299999999999997,0.0999999999999943,10186,106.9,105.5,101.3,1823.8,1602.89999999997,6850.29999999999,8265.29999999999,3.04,2.98,3.93,3.88,4,5.5
"2007-02-01",15825.7,21962.2,-6136.4,209.300000000003,-0.200000000000003,-871.699999999997,-3.7,2.6,-6.1,-34.7000000000003,81.3,0.300000000000011,0.400000000000006,0.100000000000009,0.299999999999997,0,0.0999999999999943,0.0999999999999943,1.30000000000001,0,0.100000000000009,0,8717,106,103.6,102.3,299.399999999994,7272.70000000001,7315.70000000001,5776.90000000002,2.97,2.98,3.92,3.9,4,5.5
"2007-03-01",17163.3,19347.9,-2184.7,4460.6,-4.09999999999999,6754.7,-0.0999999999999943,1.7,3.5,-98.5999999999999,79.1,0.599999999999994,1.09999999999999,0.0999999999999943,0,0.200000000000003,0.100000000000009,0.5,2.59999999999999,0,0,0,8076,107.6,106,101.5,607.700000000012,1759.29999999999,1918.20000000001,2630,2.91,2.94,3.87,3.89,4,5.5
"2007-04-01",25789.1,22703,3086.1,-3596.4,6.69999999999999,-4074.2,6.5,0.899999999999999,4.7,-129.4,77.8,-0.200000000000003,0.299999999999997,0.100000000000009,0,-0.900000000000006,0.299999999999997,0.100000000000009,-0.700000000000003,-0.0999999999999943,0.200000000000003,0,8759,100.3,101.1,99.2,1529,-1115.29999999999,4788.59999999998,5018.79999999999,2.79,2.83,3.79,3.82,4.25,5.75
